metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
Adenosine diphosphate;Deoxyguanosine 5-diphosphate	LDHB	0.609654045	0.747853172	-0.041999394	0.142361499	2.89E-08	1.53E-06
Dephosphocoenzyme A	LDHB	3.187033978	3.077305069	-0.048616423	0.582845242	8.18E-08	4.07E-06
Adenosine monophosphate	LDHB	1.625353914	1.307368868	-0.005934305	0.253751087	2.27E-07	1.05E-05
Oxaloacetic acid	LDHB	0.606780929	0.717258264	-0.022072659	0.164693926	7.15E-06	2.49E-04
2-Deoxyguanosine	LDHB	0.744576689	0.852713743	0.036537707	0.188586439	1.51E-05	4.85E-04
5-Methyltetrahydrofolic acid	LDHB	-0.65533762	-0.593549524	0.011264558	0.152168575	7.05E-05	0.001905789
Xanthurenic acid	LDHB	1.157359722	0.951126038	-0.009515436	0.247562386	1.04E-04	0.002667382
NADH	LDHB	3.722857895	3.371379257	0.088878397	0.887064184	2.15E-04	0.004986902
D-Lactose;D-Maltose;Melibiose	LDHB	-0.545821531	-0.47227212	0.008404745	0.135591313	3.93E-04	0.008329643
CDP-Glycerol	LDHB	0.149206388	0.295465743	0.023606017	0.077284116	4.35E-04	0.009122265
Ascorbate	LDHB	1.046850296	1.040970456	-0.059774424	0.313454193	4.45E-04	0.009308634
Cyclic AMP	LDHB	0.644074924	0.440336252	-0.008478362	0.12832702	4.70E-04	0.009734649
Thiamine	LDHB	0.634858573	0.730526025	0.00926001	0.210549006	6.13E-04	0.012159164
Agmatine	LDHB	-0.389313227	-0.343958467	0.019330203	0.114865106	0.001562909	0.026517541
Cytidine monophosphate	LDHB	-0.143479956	0.606474978	0.151852994	0.145517022	0.001782988	0.02968675
2-Deoxyadenosine	LDHB	0.103346493	-0.561686461	-0.100487226	0.149000353	0.001966209	0.032107416
S-(5-Adenosyl)-L-homocysteine	LDHB	1.249468003	0.597487056	-0.028564091	0.202969306	0.002039205	0.033002385
Cysteamine	LDHB	-0.385580393	-0.323789874	-0.01527192	0.106697867	0.003833953	0.054711045
L-Cysteine	LDHB	-0.402019507	-0.232062559	-0.030172168	0.070281816	0.004071304	0.057213562
UDP-GlcNAc;UDP-GalNAc	LDHB	0.151062116	0.231578396	-0.025156044	0.09045254	0.004534982	0.062152529
4-Hydroxyphenylacetylglycine	LDHB	-0.074640776	0.124819462	-0.080647176	0.073300561	0.005061861	0.067818884
D-Raffinose	LDHB	-0.50746552	-0.433776938	-0.016111756	0.149286893	0.00514623	0.068599881
"2,3-Dihydroxypropanoic acid"	LDHB	-0.337210957	-0.377409285	-0.035659738	0.129012058	0.008073662	0.097573994
D-Glucose;D-Mannose	LDHB	-0.446548212	-0.320083493	0.007293217	0.129706474	0.011603411	0.128580853
Thiamine pyrophosphate	LDHB	-0.317784181	-0.213856581	-0.010121686	0.081379168	0.012296251	0.134278739
Adenylosuccinic acid	LDHB	-0.092801371	-0.399098935	-0.020366598	0.152018329	0.012725522	0.137708885
2-Ethylhydracrylic acid	LDHB	-0.298456535	-0.322541314	-0.014736537	0.126043819	0.014604295	0.152485107
Glyoxylate	LDHB	-0.299822227	-0.210965176	0.002402196	0.088620717	0.016055712	0.163395599
1-Methyl-L-histidine	LDHB	0.181150097	0.383943985	-0.014937963	0.166852039	0.016819368	0.168783942
"D-Erythrono-1,4-lactone"	LDHB	0.38664687	0.484033504	0.047117395	0.183361802	0.017181117	0.171270803
Diadenosine triphosphate	LDHB	0.627685883	0.703153351	0.008690444	0.293310506	0.017900425	0.176600963
2-Deoxyinosine	LDHB	-0.476211254	-0.37817622	0.010548183	0.164895994	0.018403836	0.179881005
L-Arabitol;2-Deoxy-D-ribonic acid	LDHB	-0.251673488	-0.267286668	-0.027452492	0.101742004	0.018409464	0.179902591
Dodecanedioic acid	LDHB	-0.310370477	-0.31839643	-0.044001394	0.116647631	0.01865565	0.181801887
Glycerol 3-phosphate	LDHB	-0.220874413	-0.13063704	8.02E-04	0.056213567	0.019376875	0.187063283
Adenine	LDHB	0.387810944	0.485060284	0.054250622	0.186540529	0.020917542	0.197692752
Acetylamino-acetic acid	LDHB	-0.396988339	-0.410640551	-0.040650891	0.162734919	0.022991693	0.211188015
"3,4-Dihydroxyphenylacetic acid"	LDHB	-0.422904694	-0.424442045	-0.007108282	0.184611494	0.023783695	0.216534927
L-Cystine	LDHB	-0.616391469	-0.415386469	0.027277682	0.198540544	0.025774628	0.228820537
