metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
O-Phospho-L-serine	ALDOA	-3.145747567	-2.58361609	-0.041294091	0.134860229	2.85E-79	1.93E-76
2-Deoxycytidine 5-diphosphate	ALDOA	-2.049391647	-1.224691634	-0.038301044	0.122482215	3.45E-22	5.74E-20
Cytidine 5-diphosphate	ALDOA	-2.324956617	-1.249462925	-0.038824386	0.16333168	1.24E-13	1.17E-11
Hippuric acid	ALDOA	-1.049453737	-0.622905928	0.022552986	0.089612251	5.90E-13	5.23E-11
D-3-Phosphoglyceric acid	ALDOA	0.513185248	1.065756831	-0.012775794	0.156699583	5.87E-12	4.70E-10
5-Phospho-D-ribose 1-diphosphate	ALDOA	-2.31148548	1.805054659	0.090984727	0.253162246	1.28E-11	1.00E-09
D-Glyceraldehyde 3-phosphate;Dihydroxyacetone phosphate	ALDOA	0.53524757	0.805416232	2.78E-04	0.122499984	4.95E-11	3.70E-09
Hypotaurine	ALDOA	-0.782400999	-0.3764725	-0.006510628	0.056336635	5.13E-11	3.83E-09
L-Cystine	ALDOA	-1.727636575	-1.19852634	0.027277682	0.198540544	6.66E-10	4.45E-08
Orotidine 5-monophosphate	ALDOA	-1.00067892	1.271193761	0.022989282	0.224002094	2.51E-08	1.35E-06
Citraconic acid	ALDOA	0.078208157	0.405657248	-0.020500043	0.078097877	4.85E-08	2.49E-06
Indole-3-acetic acid	ALDOA	0.161559027	0.533630482	0.036589961	0.092714426	8.28E-08	4.12E-06
N-Acetyl-D-glucosamine 1-phosphate	ALDOA	-0.201253069	1.356656158	0.033601336	0.249158387	1.10E-07	5.31E-06
Xanthosine 5-monophosphate	ALDOA	-0.93806212	-0.449553809	0.017586452	0.089592398	1.85E-07	8.64E-06
Nicotinamide ribotide	ALDOA	-0.296334562	0.807640924	0.072306067	0.141697091	2.11E-07	9.78E-06
Cytidine 5-triphosphate	ALDOA	-4.337145751	-0.682969226	0.063793588	0.145415254	2.82E-07	1.28E-05
Uridine 5-diphosphate	ALDOA	-2.113755592	-0.861891872	-0.00439847	0.17893483	1.65E-06	6.56E-05
Deoxycytidine triphosphate	ALDOA	-3.78185659	-0.699373446	0.069367356	0.166792647	4.05E-06	1.49E-04
L-Arabinose;L-Ribulose;D-Xylose	ALDOA	0.036097855	0.446867433	-0.007335515	0.098996567	4.47E-06	1.62E-04
Dihydrouracil	ALDOA	-0.107195364	0.310716836	0.022889703	0.062980514	4.87E-06	1.75E-04
Glucono delta-lactone	ALDOA	-0.004796531	0.387172777	0.00702778	0.08480033	7.37E-06	2.55E-04
2-Deoxycytidine 5-monophosphate	ALDOA	-0.869873747	-0.614644187	-0.043486291	0.13079186	1.26E-05	4.14E-04
L-a-Aspartyl-L-phenylalanine	ALDOA	-0.238806301	0.654634829	0.115003312	0.123722699	1.29E-05	4.22E-04
D-Galactaric acid	ALDOA	-0.672898993	-0.285323824	-0.020963823	0.060736695	1.35E-05	4.39E-04
Dehydroascorbic acid;cis-Aconitic acid	ALDOA	0.052788983	0.843981109	-0.033716657	0.201705963	1.35E-05	4.41E-04
Glyoxylate	ALDOA	-0.636453639	-0.383016779	0.002402196	0.088620717	1.37E-05	4.45E-04
D-Fructose;D-Galactose;Myoinositol	ALDOA	0.053878816	0.424331326	-0.018372114	0.103198102	1.79E-05	5.69E-04
Inosine 5-monophosphate	ALDOA	0.376085437	0.542659554	0.043848931	0.121403627	3.98E-05	0.001158554
5-Methoxy-3-indoleacetic acid	ALDOA	0.171300512	0.506293531	0.060991431	0.1094798	4.75E-05	0.001347475
1-Methylnicotinamide	ALDOA	-0.157663337	0.20185616	0.007635251	0.0491359	7.73E-05	0.002060422
UDP-Glucuronate	ALDOA	-1.386886744	-0.504683369	-0.01244129	0.125142959	8.37E-05	0.002209562
"D-myo-Inositol-1,4,5-triphosphate"	ALDOA	-2.580479015	0.904885771	0.022416839	0.224894265	8.71E-05	0.002284925
Diadenosine triphosphate	ALDOA	-2.175022139	-1.132691767	0.008690444	0.293310506	9.97E-05	0.002565738
3-Furoic acid	ALDOA	-0.079747616	0.705898115	-0.03282869	0.192228895	1.22E-04	0.003051468
Oxaloacetic acid	ALDOA	-0.215770333	0.601534471	-0.022072659	0.164693926	1.53E-04	0.003722149
L-Alanine;Beta-alanine	ALDOA	-0.583139614	-0.328600781	-0.003541331	0.086507579	1.72E-04	0.004112333
NAD	ALDOA	-0.17575172	0.696261811	-0.012554282	0.188752259	1.73E-04	0.004148582
CDP-Glycerol	ALDOA	-0.829586035	-0.266454253	0.023606017	0.077284116	1.75E-04	0.004175967
Hydroxypyruvate	ALDOA	-0.495125861	-0.213327311	-0.019179925	0.052231529	2.02E-04	0.004710628
N-Acetyl-D-glucosamine 6-phosphate	ALDOA	-0.650281789	-0.202830792	-0.004095949	0.053648556	2.12E-04	0.004920203
2-Oxo-4-methylthiobutanoic acid	ALDOA	-0.510879315	-0.449485672	0.051752479	0.135898149	2.26E-04	0.005188414
L-Fucose	ALDOA	0.35602396	0.560660637	-6.32E-04	0.153281105	2.50E-04	0.00565587
2-Deoxyadenosine 5-triphosphate	ALDOA	-2.222979156	0.822117804	0.031551156	0.221347627	3.55E-04	0.007644286
L-Dihydroorotic acid	ALDOA	-0.284353305	0.357603162	0.018471652	0.097041499	4.75E-04	0.009819021
L-Glutamic acid	ALDOA	-0.568125331	-0.214364752	-0.010400595	0.06264753	0.001130967	0.020308772
Nicotinamide hypoxanthine dinucleotide	ALDOA	-0.20708621	0.411513283	-0.002544117	0.127401437	0.001153963	0.020623172
L-Kynurenine	ALDOA	-0.481520476	-0.184459028	0.031002795	0.068005265	0.001533275	0.026115801
"3,5-Diiodo-L-tyrosine"	ALDOA	0.224723024	0.283905794	-0.014303738	0.094513342	0.001603821	0.027132936
2-Deoxyribose-5-phosphate	ALDOA	-0.191472866	0.407914369	-0.017012334	0.136954525	0.001917739	0.031472209
Dulcitol	ALDOA	0.053350711	0.376115494	-0.003208425	0.122328675	0.001929604	0.031627478
Citric acid;Isocitric acid	ALDOA	-0.340672688	0.546096977	-0.041302577	0.192391459	0.002264544	0.035974249
cis-4-Hydroxy-D-proline;trans-4-Hydroxy-L-proline	ALDOA	-0.520201213	-0.130271445	-0.010846986	0.040325383	0.003061239	0.045952644
O-Phosphorylethanolamine	ALDOA	-0.764208902	-0.385076023	-0.023504711	0.122517487	0.003165611	0.047263181
D-Lactaldehyde	ALDOA	-0.211443752	0.166284563	-0.021659218	0.063825301	0.003233102	0.048025536
Guanidineacetic acid	ALDOA	-0.44442317	-0.199117424	0.003704289	0.068913589	0.00324911	0.048222473
"2,3-Diphosphoglyceric acid"	ALDOA	-2.915171374	-0.37767007	0.03087714	0.139404685	0.003382469	0.049780476
"DL-3,4-Dihydroxymandelic acid"	ALDOA	-0.161263032	0.149183084	-0.01683746	0.057249709	0.003732378	0.053581265
N-Acetyl-D-mannosamine	ALDOA	0.082784354	0.294260325	-0.00278905	0.102648892	0.003805631	0.054410187
NADP	ALDOA	-0.884169541	0.517022257	0.010085447	0.178203043	0.004445122	0.061143965
L-Glutamine;D-Glutamine;Ureidoisobutyric acid	ALDOA	-0.506703726	-0.234921311	-0.010766489	0.079556421	0.004839039	0.065399743
Xanthosine	ALDOA	-0.123277104	0.171215218	0.007984256	0.058119177	0.004976423	0.066912738
Homocitrulline	ALDOA	-0.496325747	-0.209368937	2.06E-04	0.07560217	0.005569934	0.073099655
Glutaconic acid	ALDOA	-0.164249048	0.351236282	-0.026259707	0.138229618	0.006315508	0.080631923
Uridine 5-triphosphate	ALDOA	-3.985707563	-0.705923982	-0.008674552	0.260957409	0.007542542	0.092461165
Cytidine monophosphate	ALDOA	-1.042505318	-0.230968536	0.151852994	0.145517022	0.008519216	0.101893623
D-Fructose 6-phosphate;D-Galactose 1-phosphate;D-Glucose 1-phosphate;D-Glucose 6-phosphate;D-Mannose 1-phosphate;D-Mannose 6-phosphate	ALDOA	-0.610579817	0.30804389	-0.031837473	0.133491051	0.010893445	0.123072306
Guanosine 5-diphosphate	ALDOA	-2.234778971	-0.519935422	0.023224013	0.213439302	0.010934166	0.123323517
Indole-3-pyruvic acid	ALDOA	0.47457928	0.659208554	0.010093998	0.260445045	0.012690867	0.137460943
D-Saccharic acid	ALDOA	-1.028648814	-0.402784107	-0.055031365	0.140712239	0.013459451	0.143765984
Uridine	ALDOA	0.020856598	0.439856393	0.048285749	0.159366056	0.014008251	0.14827805
Succinyl coenzyme A	ALDOA	-1.386636108	-0.411408413	-0.016627231	0.164104259	0.016142707	0.163774086
N-Acetylmuramic acid	ALDOA	-0.223396826	0.184300878	-0.014754678	0.083162511	0.016685153	0.167725
Glutaric acid;Ethylmalonic acid	ALDOA	-0.201133763	0.129240354	-0.018057094	0.061613116	0.016817053	0.168783942
"D-Erythrono-1,4-lactone"	ALDOA	-0.434489234	-0.383445401	0.047117395	0.183361802	0.01886643	0.18338044
4-Hydroxyphenylpyruvic acid	ALDOA	-0.070028715	0.168439964	-0.012745134	0.077325775	0.019122218	0.18525067
"D-Fructose 1,6-bisphosphate;D-Glucose 1,6-bisphosphate"	ALDOA	-1.640850749	0.318238631	-0.035118689	0.151155875	0.019402737	0.187175576
D-Glucosamine	ALDOA	-0.494457962	-0.183395265	-0.019593399	0.070527724	0.020205093	0.193004859
Inosine	ALDOA	-0.33237314	-0.257915803	0.040260556	0.129788099	0.021595443	0.201995139
Cytidine	ALDOA	-0.383247168	-0.301531748	0.054795943	0.157761189	0.023905015	0.217263509
Betaine aldehyde	ALDOA	-0.406087725	0.26844507	-0.04639906	0.1399977	0.024517358	0.220886395
L-Asparagine;Ureidopropionic acid	ALDOA	-0.558705875	-0.170392275	-0.007455051	0.072932859	0.025478366	0.227182771
Sucrose;Isomaltose	ALDOA	0.091974004	0.271388551	-0.013266395	0.129163499	0.027536001	0.239450911
"2,3-Pyridinedicarboxylic acid"	ALDOA	-0.951577715	-0.41222502	-0.05253562	0.165564564	0.029817794	0.252589509
PIP2	ALDOA	-2.099682255	0.520875223	0.01774517	0.233729607	0.031348883	0.261310223
Adenine	ALDOA	-0.401736365	-0.345779288	0.054250622	0.186540529	0.031995529	0.264495108
Xanthurenic acid	ALDOA	1.208081408	0.517760404	-0.009515436	0.247562386	0.0331823	0.271855115
Uridine monophosphate	ALDOA	-0.610413145	-0.113000569	0.037993432	0.07161853	0.035004257	0.282731649
4-Imidazoleacetic acid	ALDOA	-0.428459334	-0.066449532	0.016721076	0.039582766	0.035624962	0.285811891
2-Deoxyinosine	ALDOA	0.362669733	0.356872852	0.010548183	0.164895994	0.035705865	0.28624537
"2,3-Dihydroxypropyl hexopyranoside"	ALDOA	-0.124771866	0.256787787	5.43E-04	0.124395528	0.039406278	0.307249836
5-Methoxytryptamine	ALDOA	-0.316497139	-0.307549534	0.04840221	0.175500936	0.042539407	0.322796308
Acetylcholine	ALDOA	-0.403220789	0.194246862	-0.010488324	0.102556565	0.04589967	0.338562352
Uracil	ALDOA	-0.029541299	0.248770124	0.01956782	0.115161187	0.046560772	0.341523558
Biotin	ALDOA	-0.439949645	-0.135544305	0.008259173	0.072580161	0.047557016	0.346224551
DL-5-Hydroxylysine	ALDOA	-0.276565869	0.118166791	-0.018265831	0.069670808	0.050201085	0.359211191
PIP3	ALDOA	-5.258805102	-0.626101656	0.022731055	0.33548432	0.053110916	0.373829796
Homovanillic acid	ALDOA	-0.181709539	0.082564767	-0.020856964	0.054046793	0.055676521	0.384643434
Thiamine monophosphate	ALDOA	-0.421048051	-0.183446438	0.020725544	0.107764585	0.05814394	0.395550204
DL-4-Hydroxy-3-methoxymandelic acid	ALDOA	-0.207227526	0.097451664	-0.019970016	0.062089898	0.058603531	0.397496647
D-Gluconic acid	ALDOA	-0.42002085	-0.117157993	-0.024717419	0.049408225	0.061351296	0.408237901
D-Sorbitol	ALDOA	0.045888823	0.212358877	7.22E-04	0.114219835	0.063897705	0.418690984
"2,5-Dihydroxybenzaldehyde;4-Hydroxybenzoic acid"	ALDOA	-0.05395189	-0.240702226	0.033614555	0.148990867	0.065597371	0.42493722
Succinic acid;Methylmalonic acid	ALDOA	-0.288242763	0.088846115	-0.016001134	0.057052112	0.06609995	0.426826556
L-Histidine	ALDOA	-0.41353222	-0.128326862	-0.006338209	0.067509521	0.070764705	0.443926816
L-Phenylalanine	ALDOA	-0.21574014	0.065353478	-0.012057681	0.043037491	0.072067529	0.448251678
Riboflavin	ALDOA	-0.297266555	-0.325242613	0.03668807	0.202232443	0.073505907	0.453639507
3-Iodo-L-tyrosine	ALDOA	0.014719972	0.1171665	-0.012390677	0.07247637	0.073844089	0.454958145
Tyramine	ALDOA	-0.413554194	-0.244764627	-0.02930305	0.124330556	0.083100352	0.487049342
6-Phosphogluconic acid	ALDOA	-2.592476683	-0.650155451	0.060890324	0.410527095	0.083267991	0.487526495
Phenylpyruvate	ALDOA	-0.274732784	-0.205682958	-0.010923599	0.112818704	0.084292769	0.491301622
Glutathione disulfide	ALDOA	-2.751043684	-0.713504849	0.015443674	0.436802164	0.095151091	0.52628753
L-Cystathionine	ALDOA	-0.257773258	0.057212274	-0.010574101	0.040662451	0.095504292	0.527180713
Crotonoyl coenzyme A	ALDOA	-4.680848711	-1.604164863	0.091053791	1.029717337	0.099703008	0.540322103
CDP-ethanolamine	ALDOA	-0.279846875	0.074037624	-0.002177118	0.046905148	0.104190382	0.554845422
Folic acid	ALDOA	-0.467866225	-0.389300542	0.086331984	0.293610092	0.105243854	0.557468647
Inosine 5-triphosphate	ALDOA	-4.146197458	-0.444846429	0.002414691	0.276097889	0.105245862	0.557468647
Histamine	ALDOA	-0.40909816	-0.154978334	-0.005089456	0.092997917	0.107017558	0.562331147
NADPH	ALDOA	-2.852299867	-0.751561242	0.039772156	0.509342196	0.120270786	0.601513989
Hypoxanthine	ALDOA	-0.02238281	0.142526995	0.004945742	0.089250431	0.123190471	0.608270021
Ascorbate	ALDOA	0.244368979	0.407359358	-0.059774424	0.313454193	0.136151244	0.641312582
Pantothenic acid	ALDOA	-0.482404322	-0.095945368	5.96E-04	0.065696194	0.141695139	0.654362157
Adenosine diphosphate;Deoxyguanosine 5-diphosphate	ALDOA	-0.811089867	0.166223697	-0.041999394	0.142361499	0.143566935	0.659232207
4-Hydroxyphenylacetylglycine	ALDOA	-0.071137283	0.026034763	-0.080647176	0.073300561	0.145557416	0.663650615
Cadaverine	ALDOA	-0.574552487	-0.269419421	-0.048758896	0.151809173	0.146074213	0.664782339
3-Methoxytyramine	ALDOA	-0.431620713	-0.23182251	-0.022532631	0.144413985	0.147271817	0.667461398
D-Ribose 1-phosphate;D-Ribose 5-phosphate;D-Xylulose 5-phosphate	ALDOA	-0.539136346	-0.243008849	-0.050101603	0.13476458	0.152304499	0.678774053
Pyridoxal	ALDOA	-0.472205699	-0.259326695	0.088695135	0.243427276	0.152810391	0.679602117
"DL-3,4-Dihydroxyphenyl glycol"	ALDOA	-0.461303361	-0.130691592	-0.018521765	0.078501719	0.153037663	0.680061117
Adenosine monophosphate	ALDOA	-0.172186542	-0.364298716	-0.005934305	0.253751087	0.157871215	0.690690292
Pyridoxamine	ALDOA	-0.342542192	-0.124953375	0.035489962	0.113624747	0.1579365	0.690816338
Phosphatidylcholine	ALDOA	-0.340935709	0.118805236	-0.007110933	0.089689796	0.160346423	0.695600822
3-Hydroxyanthranilic acid	ALDOA	0.160396839	0.149067717	-0.026633082	0.126263217	0.164060584	0.702636024
D-Raffinose	ALDOA	0.092302445	0.188158616	-0.016111756	0.149286893	0.171215852	0.717396736
L-Pyroglutamic acid;D-Pyroglutamic Acid	ALDOA	-0.291014744	0.045641349	-0.025269195	0.051851492	0.171446722	0.717963851
Phosphatidylglycerol	ALDOA	-0.125480869	0.298054235	0.031228628	0.195335149	0.171942509	0.719410193
Isovaleric acid	ALDOA	-0.354236539	0.034357198	-0.032348104	0.049181047	0.174996955	0.724845117
3-Aminopiperidin-2-one	ALDOA	-0.495197727	-0.074801156	-0.008509285	0.049189297	0.177758449	0.729362255
(4R)-4-Hydroxy-L-glutamic acid	ALDOA	-0.152746624	0.126169848	5.26E-04	0.093739803	0.180133213	0.734179943
4-Pyridoxic acid	ALDOA	0.068544039	-0.161080524	0.014915121	0.131806109	0.181790717	0.738076766
D-Ribose;D-Xylulose	ALDOA	0.052484311	0.169743079	-0.010478227	0.135022753	0.181958942	0.738237347
4-Guanidinobutyric acid	ALDOA	-0.229382091	-0.115042032	0.033210575	0.111543335	0.183813915	0.741257403
D-Glucose;D-Mannose	ALDOA	0.045173519	0.177962908	0.007293217	0.129706474	0.188236231	0.749894832
Folinic acid	ALDOA	-0.51228161	-0.230929323	-0.020848435	0.159834998	0.188724746	0.750823464
Creatine	ALDOA	-0.381019755	-0.098651524	-6.85E-04	0.075782282	0.196101354	0.763653443
Acetoacetate;2-Ketobutyric acid	ALDOA	-0.310217684	-0.081391415	-0.003236672	0.060659471	0.197600564	0.765634884
Phosphatidic Acid	ALDOA	0.099978876	0.415264828	0.066339581	0.272198185	0.199884954	0.768768053
L-Leucine;L-Isoleucine;L-Alloisoleucine	ALDOA	-0.496892592	-0.111270501	-0.03123773	0.06399667	0.211088805	0.787005838
N-Acetyl-5-hydroxytryptamine	ALDOA	0.263110171	0.128979853	-0.004171024	0.106494025	0.211185187	0.78703148
6-Deoxy-L-galactonic acid	ALDOA	-0.323728084	-0.20683465	-0.026453834	0.144370831	0.211508934	0.787471843
Phosphatidylserine	ALDOA	-0.134186645	0.224277705	0.017773673	0.166275937	0.214260264	0.792405515
Phosphocholine	ALDOA	-0.502516259	-0.071707165	0.016990822	0.071721847	0.216200663	0.795211313
L-Proline;D-Proline	ALDOA	-0.495928203	-0.076335971	-0.014428698	0.050138914	0.216936563	0.79597299
Dephosphocoenzyme A	ALDOA	-0.015804527	-0.766059497	-0.048616423	0.582845242	0.21834816	0.797274125
2-Methylglutaric acid;3-Methylglutaric acid;Adipic acid	ALDOA	-0.364252684	0.038509736	-0.021002849	0.048415896	0.218998652	0.798305575
3-Methylglutaconic acid	ALDOA	-0.015108181	0.116858439	-0.012379775	0.105999007	0.22275317	0.804536157
Agmatine	ALDOA	-0.14954919	0.159097258	0.019330203	0.114865106	0.223682991	0.805283601
"N,N-Diacetylchitobiose"	ALDOA	-0.281433918	0.109871654	-0.006212403	0.095535725	0.224333556	0.806388712
S-(5-Adenosyl)-L-methionine	ALDOA	-0.244259955	0.295109681	0.002591492	0.241252861	0.225322478	0.807798241
Leucinic acid;D-Leucic acid;2-Hydroxy-3-methylpentanoic acid	ALDOA	-0.308284143	-0.072950964	-0.003311502	0.057926651	0.229285773	0.812865673
D-Tagatose 6-phosphate	ALDOA	-0.633661765	-0.157545098	0.021405786	0.150340304	0.233926356	0.819536642
2-Aminoadipic acid	ALDOA	-0.527572671	-0.078905892	-0.014234918	0.05435813	0.234156322	0.819949588
3-Hydroxy-DL-kynurenine	ALDOA	-0.28547211	-0.087513056	0.048049801	0.114937739	0.23822063	0.825185346
Adenosine 5-phosphosulfate	ALDOA	-0.741085241	0.092607291	0.026269935	0.057257564	0.246628222	0.836486208
L-Tyrosine	ALDOA	-0.086735979	0.110167742	-0.011081427	0.105738108	0.251508443	0.842374769
O-Acetyl-L-carnitine	ALDOA	-0.405626161	0.090841932	-0.001109946	0.0808749	0.255553193	0.847209036
L-Saccharopine	ALDOA	-0.283990167	0.041606124	-0.011725174	0.047384662	0.260378463	0.852937102
Betaine aldehyde hydrate	ALDOA	-0.492758885	0.103326648	-0.035201366	0.123751297	0.26296673	0.855060352
L-Threonine	ALDOA	-0.259291205	0.031943487	-0.026316439	0.052101065	0.26347736	0.855874411
4-Imidazoleacrylic acid	ALDOA	-0.406003445	-0.025236738	0.031540443	0.050938402	0.265011449	0.857368563
2-Deoxyguanosine 5-monophosphate	ALDOA	-0.251206164	-0.16379279	-0.026160347	0.125055638	0.271083991	0.862440415
2-Deoxyuridine	ALDOA	-0.023647242	0.163219198	-0.001343834	0.149900082	0.272283903	0.86385743
Pyruvate	ALDOA	-0.319048167	-0.076667736	-0.013880068	0.057725654	0.276731592	0.869406817
Dimethylglycine;Gamma-Aminobutyric acid	ALDOA	-0.479380224	-0.105785729	-0.024406672	0.075929124	0.283820395	0.876294012
Thymidine	ALDOA	0.053809751	0.135739213	-0.054789839	0.179453762	0.288364322	0.878670322
Metanephrine	ALDOA	-0.207359362	0.263635331	-0.014406598	0.264488932	0.293147363	0.883472069
Sarcosine	ALDOA	-0.172241848	0.111727037	-0.028159525	0.134826378	0.299488402	0.890377564
N-Acetylneuraminic acid	ALDOA	-0.294143542	0.030574692	-0.020004711	0.048828258	0.300265897	0.891289801
5-Methyluridine	ALDOA	-0.390890747	-0.043779548	0.023170685	0.065899259	0.309654065	0.898150095
3-Sulfopyruvic acid	ALDOA	-0.77061957	0.422780951	0.18289104	0.24084133	0.319226044	0.907596896
UDP-GlcNAc;UDP-GalNAc	ALDOA	-0.191134174	0.064768392	-0.025156044	0.09045254	0.320144227	0.908104623
Cysteamine	ALDOA	-0.361799086	-0.120983091	-0.01527192	0.106697867	0.321806481	0.909151351
2-Oxoadipic acid	ALDOA	-0.281326401	0.023747708	-0.02053504	0.044946826	0.324513437	0.911995016
Isobutyrylglycine	ALDOA	-0.300988606	0.026820223	-0.015638863	0.043635298	0.330531187	0.9163622
Epinephrine	ALDOA	-0.305588903	0.057741024	-0.035947243	0.096559437	0.331914291	0.918071773
Cytidine-5-monophospho-N-acetylneuraminic acid	ALDOA	-0.214771122	0.075126651	-0.022955992	0.101242997	0.332652737	0.918697144
N-Hexanoyl-glycine	ALDOA	-0.252271571	0.021956805	-0.022583864	0.046060096	0.333538001	0.919264975
D-Glyceraldehyde;L-Lactic acid;3-Hydroxypropionic acid	ALDOA	-0.328497868	-0.05331782	-0.009653426	0.046087987	0.343427963	0.929099078
Porphobilinogen	ALDOA	-0.338087108	0.016866466	-0.017948607	0.037084508	0.347831529	0.932649258
Phosphatidylethanolamine	ALDOA	-0.102358179	0.176473714	-0.002169088	0.192367098	0.353067545	0.936368056
"D-Glucurono-6,3-lactone"	ALDOA	-0.396977828	-0.07391525	-0.021321049	0.057951198	0.364110625	0.945666721
N-Glycolylneuraminic acid	ALDOA	-0.312832888	0.028724215	-0.014467026	0.048605071	0.374209518	0.951839919
2-Amino-3-methoxybenzoic acid	ALDOA	-0.0665367	0.122021232	0.008192942	0.128576845	0.37599817	0.953051943
L-Arginine	ALDOA	-0.281470849	0.01934678	-0.021178735	0.045785208	0.376090588	0.953069559
Dodecanedioic acid	ALDOA	-0.023638832	0.058525687	-0.044001394	0.116647631	0.379430037	0.954715133
Deoxyuridine triphosphate	ALDOA	-3.625028061	0.41629864	0.135076597	0.321837463	0.382226388	0.956850632
D-Glucuronic acid	ALDOA	-0.365419573	0.006197083	-0.024862403	0.035990685	0.388144723	0.960041066
Guanosine 5-triphosphate	ALDOA	-4.503525812	-0.331750441	0.020550486	0.411069808	0.391425926	0.961684971
Cyclic GMP	ALDOA	-0.017162273	0.083624788	0.021792176	0.072169885	0.391574916	0.961859046
Octanoyl coenzyme A	ALDOA	-1.069302185	0.264895797	0.043945927	0.26204507	0.39913054	0.965247434
L-Cysteine	ALDOA	-0.44347663	-0.087857272	-0.030172168	0.070281816	0.41177812	0.970887442
Choline	ALDOA	-0.363403573	0.103447434	-0.042516728	0.177924003	0.412003136	0.971074937
Galactinol;Trehalose	ALDOA	-0.159723291	0.040459782	-0.032400805	0.089122534	0.413624062	0.972027736
N-Acetyl-L-aspartate	ALDOA	-0.649129493	-0.169548152	-0.039344858	0.160675835	0.417740365	0.974187928
2-Deoxycytidine	ALDOA	-0.390825167	-0.083508197	0.066439214	0.185599355	0.419142904	0.974655094
N-Acetylputrescine	ALDOA	-0.264791548	0.167901036	-0.014579731	0.226895166	0.421251771	0.974655094
Betaine	ALDOA	-0.336460675	0.061338308	-0.074082033	0.170075222	0.425893764	0.976807955
Dihydrothymine	ALDOA	-0.007139375	0.20889542	0.060968018	0.187048166	0.429030405	0.978754098
3-Phosphoadenosine 5-phosphosulfate	ALDOA	-1.791047057	-0.146620603	-0.024272822	0.154862688	0.429504172	0.979294453
Pyridoxine;Norepinephrine	ALDOA	-0.308223199	-0.018620147	0.040846127	0.076219039	0.435271771	0.982512719
3-Hydroxy-3-methylglutaryl coenzyme A	ALDOA	-1.911630222	-0.119153616	-0.005737226	0.145384315	0.435323573	0.982587493
Glycolic acid	ALDOA	-0.352346959	-0.058687298	-0.007505033	0.06564256	0.435560662	0.982635413
Anthranilate	ALDOA	-0.339462555	0.070658879	0.020082875	0.065268016	0.438400399	0.983169932
Orotic acid	ALDOA	-0.402402733	-0.153028516	-0.04158727	0.144778741	0.441457181	0.984438626
DL-Homocystine	ALDOA	-0.435244053	-0.077906997	-0.005670234	0.094870591	0.446403741	0.98642729
Propionyl coenzyme A	ALDOA	-1.553667044	-0.15848162	0.209956773	0.484866383	0.447328628	0.987050897
Carnitine	ALDOA	-0.402505089	0.055210304	0.001665506	0.071956479	0.456799311	0.990985211
N-Acetyl-D-galactosamine;N-Acetyl-D-glucosamine	ALDOA	-0.306795479	0.049963337	-0.027917004	0.106235652	0.46350327	0.993512632
Nicotinic acid	ALDOA	-0.388261999	0.077520099	0.018326192	0.08123791	0.466216507	0.994215157
L-Pipecolic acid	ALDOA	-0.523931535	-0.048977676	-0.010854432	0.052980303	0.47178738	0.995040282
L-alpha-Glycerophosphorylcholine	ALDOA	-0.490371068	0.262516208	0.133080602	0.180998971	0.474536187	0.99590844
L-Fucose 1-phosphate	ALDOA	-0.636298666	0.042578495	-0.049031861	0.129789255	0.480288083	0.997629113
Cytidine 5-diphosphocholine	ALDOA	-0.125248362	0.037665871	-0.024983564	0.089249641	0.482705809	0.998462963
Malonyl coenzyme A	ALDOA	-1.861565143	0.205158467	0.065434816	0.200736266	0.486393858	0.998587827
(R)-3-Hydroxybutyric acid	ALDOA	-0.277916753	-0.041838217	-0.040107909	0.116578554	0.988157895	0.99999496
1-Methyl-L-histidine	ALDOA	-0.513045545	-0.022024728	-0.014937963	0.166852039	0.966121358	0.99999496
1-Methylhistamine	ALDOA	-0.542875774	-0.004357863	-0.031966636	0.138148192	0.841598709	0.99999496
"1,3-Diaminopropane"	ALDOA	-0.317776806	-0.091870785	0.00580828	0.158470022	0.537638281	0.99999496
2-Deoxy-D-ribose	ALDOA	-0.119017736	0.134072483	0.051572203	0.15831656	0.602290418	0.99999496
2-Deoxyadenosine	ALDOA	-0.273279568	-0.013790741	-0.100487226	0.149000353	0.560664877	0.99999496
2-Deoxyguanosine	ALDOA	-0.191348337	-0.047027432	0.036537707	0.188586439	0.657683864	0.99999496
2-Deoxyuridine 5-monophosphate	ALDOA	-0.215265245	-0.115547957	-0.049836779	0.167448737	0.694743745	0.99999496
2-Ethylhydracrylic acid	ALDOA	-0.012671515	0.044891535	-0.014736537	0.126043819	0.636160282	0.99999496
2-Hydroxybutyric acid;(S)-3-Hydroxybutyric acid;(R)-3-Hydroxybutyric acid;(R)-3-Hydroxyisobutyric acid;(S)-3-Hydroxyisobutyric acid	ALDOA	-0.176140237	-0.025133563	-0.012908211	0.119296631	0.918376798	0.99999496
2-Hydroxyphenylacetic acid;4-Hydroxyphenylacetic acid	ALDOA	-0.231680167	-0.022863627	-0.016099123	0.073801145	0.926969348	0.99999496
2-Methylbutyrylglycine;Isovalerylglycine	ALDOA	-0.296401514	0.007101824	-0.017030827	0.037125832	0.515677251	0.99999496
"2,3-Dihydroxypropanoic acid"	ALDOA	-0.132517484	-0.115095031	-0.035659738	0.129012058	0.538079394	0.99999496
"2,5-Dihydroxybenzoic acid"	ALDOA	0.318663207	0.106019755	0.035933846	0.166036749	0.672944129	0.99999496
